open_time,open,high,low,close,volume
2025-06-17 00:00:00,388.87,389.27,388.84,389.05,42567.14680
2025-06-17 00:01:00,389.06,389.58,389.05,389.58,79266.83543
2025-06-17 00:02:00,389.60,389.70,389.46,389.57,32918.10416
2025-06-17 00:03:00,389.58,390.00,389.58,389.79,56770.92464
2025-06-17 00:04:00,389.79,389.79,389.35,389.66,99785.98557
2025-06-17 00:05:00,389.68,389.74,389.24,389.28,47044.62146
2025-06-17 00:06:00,389.32,389.32,388.82,388.91,17753.61007
2025-06-17 00:07:00,388.92,389.16,388.80,388.80,30669.26799
2025-06-17 00:08:00,388.78,388.78,388.26,388.44,70683.09155
2025-06-17 00:09:00,388.46,388.74,388.46,388.68,34501.66675
2025-06-17 00:10:00,388.67,388.67,388.17,388.25,86187.48142
2025-06-17 00:11:00,388.25,388.43,388.16,388.16,21537.03089
2025-06-17 00:12:00,388.16,388.52,388.16,388.52,34779.00347
2025-06-17 00:13:00,388.51,388.51,388.22,388.25,12849.32413
2025-06-17 00:14:00,388.25,388.79,388.21,388.42,65352.72169
2025-06-17 00:15:00,388.42,388.42,387.63,388.00,40113.11572
2025-06-17 00:16:00,388.01,388.20,387.49,387.88,39596.78322
2025-06-17 00:17:00,387.88,388.15,387.58,387.69,30060.79761
2025-06-17 00:18:00,387.70,387.84,387.35,387.56,22078.95160
2025-06-17 00:19:00,387.54,387.71,387.36,387.37,21060.79411
2025-06-17 00:20:00,387.37,387.61,387.28,387.35,24549.74516
2025-06-17 00:21:00,387.36,388.72,387.36,388.41,94582.61788
2025-06-17 00:22:00,388.47,388.79,388.47,388.72,41751.61050
2025-06-17 00:23:00,388.71,388.92,388.57,388.67,13926.82307
2025-06-17 00:24:00,388.65,388.68,388.24,388.35,20202.56100
2025-06-17 00:25:00,388.34,388.95,388.32,388.82,33686.49104
2025-06-17 00:26:00,388.81,388.96,388.73,388.82,18747.75558
2025-06-17 00:27:00,388.80,389.36,388.68,389.36,17359.12009
2025-06-17 00:28:00,389.36,389.72,389.35,389.56,27958.95486
2025-06-17 00:29:00,389.56,389.63,389.29,389.49,36746.53512
2025-06-17 00:30:00,389.50,389.67,389.12,389.15,44669.67837
2025-06-17 00:31:00,389.15,389.30,388.85,388.90,27197.15185
2025-06-17 00:32:00,388.90,389.20,388.84,388.91,20966.40071
2025-06-17 00:33:00,388.90,389.06,388.81,388.92,22639.64927
2025-06-17 00:34:00,388.90,389.06,388.13,388.79,36291.66039
2025-06-17 00:35:00,388.71,388.82,388.03,388.10,57214.65294
2025-06-17 00:36:00,388.11,388.11,387.55,387.76,72965.44670
2025-06-17 00:37:00,387.77,387.83,387.15,387.20,126834.08099
2025-06-17 00:38:00,387.20,387.34,387.17,387.28,63204.74551
2025-06-17 00:39:00,387.27,387.45,387.15,387.20,90196.16020
2025-06-17 00:40:00,387.19,387.43,386.96,387.36,105036.91683
2025-06-17 00:41:00,387.36,387.49,387.27,387.27,152561.78110
2025-06-17 00:42:00,387.26,387.28,386.99,387.10,69515.32817
2025-06-17 00:43:00,387.10,387.31,387.10,387.31,16402.00009
2025-06-17 00:44:00,387.31,387.55,387.08,387.54,145577.31974
2025-06-17 00:45:00,387.54,387.66,387.27,387.47,187834.93625
2025-06-17 00:46:00,387.47,387.61,387.47,387.49,151904.03308
2025-06-17 00:47:00,387.49,387.49,387.45,387.45,16159.46102
2025-06-17 00:48:00,387.46,387.56,387.46,387.46,70238.79613
2025-06-17 00:49:00,387.46,387.46,387.33,387.33,10594.86161
2025-06-17 00:50:00,387.33,387.39,387.32,387.35,7103.15181
2025-06-17 00:51:00,387.36,387.36,387.19,387.19,11724.92291
2025-06-17 00:52:00,387.18,387.18,386.98,386.98,9336.13415
2025-06-17 00:53:00,386.99,386.99,386.97,386.97,2124.12841
2025-06-17 00:54:00,386.98,387.16,386.97,387.16,20979.03413
2025-06-17 00:55:00,387.17,387.19,386.82,386.82,41823.32386
2025-06-17 00:56:00,386.81,386.89,386.76,386.88,16765.47907
2025-06-17 00:57:00,386.89,386.92,386.72,386.75,19552.11373
2025-06-17 00:58:00,386.75,386.76,386.63,386.63,9098.72717
2025-06-17 00:59:00,386.62,386.96,386.62,386.96,18773.03211
2025-06-17 01:00:00,386.97,387.59,386.82,387.28,61430.67672
2025-06-17 01:01:00,387.28,387.45,386.93,386.98,42434.04171
2025-06-17 01:02:00,386.97,387.32,386.69,386.77,142121.77770
2025-06-17 01:03:00,386.79,387.16,386.75,386.93,48390.24018
2025-06-17 01:04:00,386.92,387.37,386.90,386.93,29697.89761
2025-06-17 01:05:00,386.93,387.26,386.88,386.88,22621.49899
2025-06-17 01:06:00,386.93,387.12,386.71,386.83,15018.10769
2025-06-17 01:07:00,386.83,387.03,386.77,387.00,11914.49934
2025-06-17 01:08:00,386.99,387.82,386.87,387.40,166302.02392
2025-06-17 01:09:00,387.41,387.45,386.91,387.24,62935.89160
2025-06-17 01:10:00,387.25,387.26,386.91,387.05,38360.22340
2025-06-17 01:11:00,387.04,387.27,386.76,386.94,35050.60735
2025-06-17 01:12:00,386.91,387.05,386.83,386.99,24260.03687
2025-06-17 01:13:00,386.99,387.00,386.51,386.70,36676.18653
2025-06-17 01:14:00,386.69,387.09,386.61,386.95,20318.58528
2025-06-17 01:15:00,386.95,386.95,386.58,386.69,14710.23701
2025-06-17 01:16:00,386.69,386.89,386.67,386.82,17929.78853
2025-06-17 01:17:00,386.82,386.88,386.62,386.76,37989.38561
2025-06-17 01:18:00,386.76,387.10,386.70,387.04,21012.03245
2025-06-17 01:19:00,387.04,387.20,386.60,386.60,68446.80919
2025-06-17 01:20:00,386.60,387.09,386.60,386.96,28497.74537
2025-06-17 01:21:00,386.88,386.88,386.55,386.66,31053.02206
2025-06-17 01:22:00,386.65,386.82,386.50,386.65,60981.94736
2025-06-17 01:23:00,386.64,386.82,386.55,386.77,16022.78621
2025-06-17 01:24:00,386.76,386.98,386.60,386.98,19676.91818
2025-06-17 01:25:00,387.00,387.04,386.78,386.84,28589.44077
2025-06-17 01:26:00,386.86,387.29,386.86,387.06,11154.47229
2025-06-17 01:27:00,387.06,387.33,387.02,387.32,14915.47510
2025-06-17 01:28:00,387.28,387.43,387.19,387.24,19824.91053
2025-06-17 01:29:00,387.26,387.46,387.26,387.46,13503.22076
2025-06-17 01:30:00,387.45,387.53,387.17,387.17,58400.61745
2025-06-17 01:31:00,387.16,387.16,386.28,386.34,82791.04888
